from,to,m,km,miles,seconds,minutes,hours
"Kewaunee, Kewaunee County, Wisconsin","St Joseph's Hospital, Milwaukee",184312,184.312,114.53147680000001,6968,116.13333333333334,1.9355555555555555
"La Crosse County, Wisconsin","St Joseph's Hospital, Milwaukee",323529,323.529,201.04092060000002,10691,178.18333333333334,2.9697222222222224
"Lafayette County, Wisconsin","St Joseph's Hospital, Milwaukee",216550,216.55,134.56417000000002,8472,141.2,2.3533333333333335
"Langlade County, Wisconsin","St Joseph's Hospital, Milwaukee",282931,282.931,175.8133234,10972,182.86666666666667,3.0477777777777777
"Lincoln County, Wisconsin","St Joseph's Hospital, Milwaukee",342636,342.636,212.91401040000002,11912,198.53333333333333,3.3088888888888888
"Manitowoc, Manitowoc County, Wisconsin","St Joseph's Hospital, Milwaukee",128660,128.66,79.949324,4981,83.01666666666667,1.3836111111111111
"Marathon County, Wisconsin","St Joseph's Hospital, Milwaukee",282435,282.435,175.505109,10049,167.48333333333332,2.7913888888888887
"Marinette County, Wisconsin","St Joseph's Hospital, Milwaukee",288075,288.075,179.009805,10344,172.4,2.8733333333333335
"Marquette County, Wisconsin","St Joseph's Hospital, Milwaukee",175718,175.718,109.1911652,7124,118.73333333333333,1.978888888888889
"Menominee County, Wisconsin","St Joseph's Hospital, Milwaukee",241131,241.131,149.83880340000002,9142,152.36666666666667,2.5394444444444444
"Milwaukee County, Wisconsin","St Joseph's Hospital, Milwaukee",10800,10.8,6.71112,753,12.55,0.20916666666666667
"Monroe County, Wisconsin","St Joseph's Hospital, Milwaukee",289765,289.765,180.05997100000002,9831,163.85,2.7308333333333334
"Oconto County, Wisconsin","St Joseph's Hospital, Milwaukee",226196,226.196,140.55819440000002,7830,130.5,2.175
"Oneida County, Wisconsin","St Joseph's Hospital, Milwaukee",383503,383.503,238.3087642,13123,218.71666666666667,3.645277777777778
"Outagamie County, Wisconsin","St Joseph's Hospital, Milwaukee",181367,181.367,112.70145380000001,6525,108.75,1.8125
"Port Washington, Ozaukee County, Wisconsin","St Joseph's Hospital, Milwaukee",42047,42.047,26.1280058,2085,34.75,0.5791666666666667
"Pepin County, Wisconsin","St Joseph's Hospital, Milwaukee",426432,426.432,264.9848448,14746,245.76666666666668,4.096111111111111
"Pierce County, Wisconsin","St Joseph's Hospital, Milwaukee",493549,493.549,306.6913486,16229,270.48333333333335,4.508055555555556
"Polk County, Wisconsin","St Joseph's Hospital, Milwaukee",516965,516.965,321.242051,17405,290.0833333333333,4.834722222222222
"Portage County, Wisconsin","St Joseph's Hospital, Milwaukee",225518,225.518,140.1368852,7878,131.3,2.1883333333333335
"Price County, Wisconsin","St Joseph's Hospital, Milwaukee",431747,431.747,268.2875858,15356,255.93333333333334,4.265555555555555
"Racine, Racine County, Wisconsin","St Joseph's Hospital, Milwaukee",55518,55.518,34.498885200000004,2866,47.766666666666666,0.7961111111111111
"Richland County, Wisconsin","St Joseph's Hospital, Milwaukee",233605,233.605,145.162147,9330,155.5,2.591666666666667
"Rock County, Wisconsin","St Joseph's Hospital, Milwaukee",130642,130.642,81.1809388,4764,79.4,1.3233333333333333
"Rusk County, Wisconsin","St Joseph's Hospital, Milwaukee",467075,467.075,290.240405,16442,274.03333333333336,4.567222222222222
"St. Croix County, Wisconsin","St Joseph's Hospital, Milwaukee",480931,480.931,298.85052340000004,15835,263.9166666666667,4.398611111111111
"Sauk County, Wisconsin","St Joseph's Hospital, Milwaukee",216872,216.872,134.76426080000002,7556,125.93333333333334,2.098888888888889
"Sawyer County, Wisconsin","St Joseph's Hospital, Milwaukee",503474,503.474,312.8587436,17915,298.5833333333333,4.976388888888889
"Shawano County, Wisconsin","St Joseph's Hospital, Milwaukee",220367,220.367,136.9360538,8305,138.41666666666666,2.3069444444444445
"Sheboygan, Sheboygan County, Wisconsin","St Joseph's Hospital, Milwaukee",92747,92.747,57.6329858,3708,61.8,1.03
"Taylor County, Wisconsin","St Joseph's Hospital, Milwaukee",387025,387.025,240.49733500000002,13591,226.51666666666668,3.7752777777777777
"Trempealeau County, Wisconsin","St Joseph's Hospital, Milwaukee",368080,368.08,228.72491200000002,12569,209.48333333333332,3.491388888888889
"Vernon County, Wisconsin","St Joseph's Hospital, Milwaukee",274596,274.596,170.63395440000002,11236,187.26666666666668,3.121111111111111
"Vilas County, Wisconsin","St Joseph's Hospital, Milwaukee",426846,426.846,265.2421044,15241,254.01666666666668,4.233611111111111
"Walworth County, Wisconsin","St Joseph's Hospital, Milwaukee",81050,81.05,50.364470000000004,3167,52.78333333333333,0.8797222222222222
"Washburn County, Wisconsin","St Joseph's Hospital, Milwaukee",539212,539.212,335.06633680000004,17618,293.6333333333333,4.893888888888889
"Washington County, Wisconsin","St Joseph's Hospital, Milwaukee",48730,48.73,30.280822,2194,36.56666666666667,0.6094444444444445
"Waukesha County, Wisconsin","St Joseph's Hospital, Milwaukee",38691,38.691,24.042587400000002,1827,30.45,0.5075
"Waupaca County, Wisconsin","St Joseph's Hospital, Milwaukee",200612,200.612,124.66029680000001,7323,122.05,2.0341666666666667
"Waushara County, Wisconsin","St Joseph's Hospital, Milwaukee",186051,186.051,115.61209140000001,7387,123.11666666666666,2.0519444444444446
"Winnebago County, Wisconsin","St Joseph's Hospital, Milwaukee",133268,133.268,82.8127352,4987,83.11666666666666,1.3852777777777778
"Wood County, Wisconsin","St Joseph's Hospital, Milwaukee",279099,279.099,173.4321186,10387,173.11666666666667,2.8852777777777776
"Adams County, Wisconsin","Aurora Sinai, Milwaukee",247344,247.344,153.6995616,8237,137.28333333333333,2.2880555555555557
"Ashland, Ashland County, Wisconsin","Aurora Sinai, Milwaukee",558657,558.657,347.14945980000005,20211,336.85,5.614166666666667
"Barron County, Wisconsin","Aurora Sinai, Milwaukee",475490,475.49,295.469486,15426,257.1,4.285
"Bayfield County, Wisconsin","Aurora Sinai, Milwaukee",589536,589.536,366.33767040000004,21865,364.4166666666667,6.073611111111111
"Brown County, Wisconsin","Aurora Sinai, Milwaukee",172657,172.657,107.2890598,5773,96.21666666666667,1.603611111111111
"Buffalo County, Wisconsin","Aurora Sinai, Milwaukee",412516,412.516,256.3374424,14259,237.65,3.9608333333333334
"Burnett County, Wisconsin","Aurora Sinai, Milwaukee",554437,554.437,344.5271518,18544,309.06666666666666,5.151111111111111
"Calumet County, Wisconsin","Aurora Sinai, Milwaukee",141362,141.362,87.8423468,5989,99.81666666666666,1.6636111111111112
"Chippewa County, Wisconsin","Aurora Sinai, Milwaukee",432125,432.125,268.52247500000004,14375,239.58333333333334,3.9930555555555554
"Clark County, Wisconsin","Aurora Sinai, Milwaukee",389145,389.145,241.814703,13359,222.65,3.7108333333333334
"Columbia County, Wisconsin","Aurora Sinai, Milwaukee",150222,150.222,93.3479508,5275,87.91666666666667,1.4652777777777777
"Crawford County, Wisconsin","Aurora Sinai, Milwaukee",261071,261.071,162.22951940000002,10566,176.1,2.935
"Dane County, Wisconsin","Aurora Sinai, Milwaukee",145263,145.263,90.266428200000007,5346,89.1,1.485
"Dodge County, Wisconsin","Aurora Sinai, Milwaukee",111756,111.756,69.4451784,4072,67.86666666666666,1.1311111111111112
"Door County, Wisconsin","Aurora Sinai, Milwaukee",247147,247.147,153.5771458,8222,137.03333333333333,2.283888888888889
"Douglas County, Wisconsin","Aurora Sinai, Milwaukee",590866,590.866,367.1641324,19500,325,5.416666666666667
"Dunn County, Wisconsin","Aurora Sinai, Milwaukee",434759,434.759,270.1592426,14105,235.08333333333334,3.9180555555555556
"Eau Claire County, Wisconsin","Aurora Sinai, Milwaukee",386132,386.132,239.94242480000003,12780,213,3.55
"Florence County, Wisconsin","Aurora Sinai, Milwaukee",359516,359.516,223.4032424,13102,218.36666666666667,3.6394444444444445
"Fond du Lac County, Wisconsin","Aurora Sinai, Milwaukee",95658,95.658,59.441881200000005,3818,63.63333333333333,1.0605555555555555
"Forest County, Wisconsin","Aurora Sinai, Milwaukee",366479,366.479,227.7300506,12964,216.06666666666666,3.601111111111111
"Grant County, Wisconsin","Aurora Sinai, Milwaukee",248788,248.788,154.5968632,9260,154.33333333333334,2.5722222222222224
"Green County, Wisconsin","Aurora Sinai, Milwaukee",177470,177.47,110.279858,6848,114.13333333333334,1.9022222222222223
"Green Lake County, Wisconsin","Aurora Sinai, Milwaukee",163123,163.123,101.3646322,6350,105.83333333333333,1.7638888888888888
"Iowa County, Wisconsin","Aurora Sinai, Milwaukee",197398,197.398,122.6631172,7018,116.96666666666667,1.9494444444444445
"Iron County, Wisconsin","Aurora Sinai, Milwaukee",487405,487.405,302.873467,17913,298.55,4.975833333333333
"Jackson County, Wisconsin","Aurora Sinai, Milwaukee",318319,318.319,197.80342660000002,10509,175.15,2.9191666666666665
"Jefferson County, Wisconsin","Aurora Sinai, Milwaukee",70173,70.173,43.605502200000004,2697,44.95,0.7491666666666666
"Juneau County, Wisconsin","Aurora Sinai, Milwaukee",233967,233.967,145.3870938,7822,130.36666666666667,2.1727777777777777
"Kenosha, Kenosha County, Wisconsin","Aurora Sinai, Milwaukee",62143,62.143,38.6156602,2773,46.21666666666667,0.7702777777777777
"Kewaunee, Kewaunee County, Wisconsin","Aurora Sinai, Milwaukee",183064,183.064,113.7559696,6541,109.01666666666667,1.8169444444444445
"La Crosse County, Wisconsin","Aurora Sinai, Milwaukee",324374,324.374,201.56600360000002,10663,177.71666666666667,2.9619444444444443
"Lafayette County, Wisconsin","Aurora Sinai, Milwaukee",217995,217.995,135.462093,8450,140.83333333333334,2.3472222222222223
"Langlade County, Wisconsin","Aurora Sinai, Milwaukee",323998,323.998,201.33235720000002,11283,188.05,3.1341666666666668
"Lincoln County, Wisconsin","Aurora Sinai, Milwaukee",356927,356.927,221.79443780000003,12256,204.26666666666668,3.4044444444444446
"Manitowoc, Manitowoc County, Wisconsin","Aurora Sinai, Milwaukee",127411,127.411,79.1731954,4554,75.9,1.265
"Marathon County, Wisconsin","Aurora Sinai, Milwaukee",296727,296.727,184.3861578,10394,173.23333333333332,2.8872222222222224
"Marinette County, Wisconsin","Aurora Sinai, Milwaukee",286827,286.827,178.2342978,9917,165.28333333333333,2.754722222222222
"Marquette County, Wisconsin","Aurora Sinai, Milwaukee",190009,190.009,118.0715926,7468,124.46666666666667,2.0744444444444445
"Menominee County, Wisconsin","Aurora Sinai, Milwaukee",257928,257.928,160.2764592,8841,147.35,2.4558333333333335
"Milwaukee County, Wisconsin","Aurora Sinai, Milwaukee",2236,2.236,1.3894504,389,6.483333333333333,0.10805555555555556
"Monroe County, Wisconsin","Aurora Sinai, Milwaukee",290610,290.61,180.585054,9803,163.38333333333333,2.7230555555555553
"Oconto County, Wisconsin","Aurora Sinai, Milwaukee",224948,224.948,139.7826872,7403,123.38333333333334,2.056388888888889
"Oneida County, Wisconsin","Aurora Sinai, Milwaukee",397794,397.794,247.18919160000002,13467,224.45,3.7408333333333332
"Outagamie County, Wisconsin","Aurora Sinai, Milwaukee",195658,195.658,121.58188120000001,6869,114.48333333333333,1.9080555555555556
"Port Washington, Ozaukee County, Wisconsin","Aurora Sinai, Milwaukee",40799,40.799,25.3524986,1658,27.633333333333333,0.46055555555555555
"Pepin County, Wisconsin","Aurora Sinai, Milwaukee",427277,427.277,265.5099278,14717,245.28333333333333,4.088055555555556
"Pierce County, Wisconsin","Aurora Sinai, Milwaukee",494395,494.395,307.217053,16201,270.01666666666665,4.500277777777778
"Polk County, Wisconsin","Aurora Sinai, Milwaukee",517810,517.81,321.767134,17377,289.6166666666667,4.826944444444444
"Portage County, Wisconsin","Aurora Sinai, Milwaukee",239810,239.81,149.017934,8222,137.03333333333333,2.283888888888889
"Price County, Wisconsin","Aurora Sinai, Milwaukee",446038,446.038,277.1680132,15700,261.6666666666667,4.361111111111111
"Racine, Racine County, Wisconsin","Aurora Sinai, Milwaukee",47871,47.871,29.747039400000002,2495,41.583333333333336,0.6930555555555555
"Richland County, Wisconsin","Aurora Sinai, Milwaukee",234451,234.451,145.6878514,9301,155.01666666666668,2.5836111111111113
"Rock County, Wisconsin","Aurora Sinai, Milwaukee",132088,132.088,82.0794832,4742,79.03333333333333,1.3172222222222223
"Rusk County, Wisconsin","Aurora Sinai, Milwaukee",475023,475.023,295.1792922,16720,278.6666666666667,4.644444444444445
"St. Croix County, Wisconsin","Aurora Sinai, Milwaukee",481777,481.777,299.37622780000004,15807,263.45,4.390833333333333
"Sauk County, Wisconsin","Aurora Sinai, Milwaukee",217717,217.717,135.2893438,7527,125.45,2.0908333333333333
"Sawyer County, Wisconsin","Aurora Sinai, Milwaukee",511422,511.422,317.79763080000004,18192,303.2,5.053333333333334
"Shawano County, Wisconsin","Aurora Sinai, Milwaukee",253111,253.111,157.2831754,8328,138.8,2.3133333333333335
"Sheboygan, Sheboygan County, Wisconsin","Aurora Sinai, Milwaukee",91498,91.498,56.8568572,3281,54.68333333333333,0.9113888888888889
"Taylor County, Wisconsin","Aurora Sinai, Milwaukee",401317,401.317,249.37838380000002,13935,232.25,3.870833333333333
"Trempealeau County, Wisconsin","Aurora Sinai, Milwaukee",368925,368.925,229.249995,12541,209.01666666666668,3.483611111111111
"Vernon County, Wisconsin","Aurora Sinai, Milwaukee",275441,275.441,171.15903740000002,11208,186.8,3.1133333333333333
"Vilas County, Wisconsin","Aurora Sinai, Milwaukee",441137,441.137,274.1225318,15585,259.75,4.329166666666667
"Walworth County, Wisconsin","Aurora Sinai, Milwaukee",82495,82.495,51.262393,3145,52.416666666666664,0.8736111111111111
"Washburn County, Wisconsin","Aurora Sinai, Milwaukee",540058,540.058,335.59204120000004,17589,293.15,4.885833333333333
"Washington County, Wisconsin","Aurora Sinai, Milwaukee",63022,63.022,39.1618708,2538,42.3,0.705
"Waukesha County, Wisconsin","Aurora Sinai, Milwaukee",39537,39.537,24.5682918,1799,29.983333333333334,0.49972222222222223
"Waupaca County, Wisconsin","Aurora Sinai, Milwaukee",214904,214.904,133.5413456,7667,127.78333333333333,2.129722222222222
"Waushara County, Wisconsin","Aurora Sinai, Milwaukee",200342,200.342,124.49251880000001,7731,128.85,2.1475
"Winnebago County, Wisconsin","Aurora Sinai, Milwaukee",147560,147.56,91.69378400000001,5331,88.85,1.4808333333333332
"Wood County, Wisconsin","Aurora Sinai, Milwaukee",293391,293.391,182.3131674,10731,178.85,2.9808333333333334
"Adams County, Wisconsin","St. Joseph's Hospital, Marshfield",97434,97.434,60.5454876,4577,76.28333333333333,1.271388888888889
"Ashland, Ashland County, Wisconsin","St. Joseph's Hospital, Marshfield",242071,242.071,150.4229194,10742,179.03333333333333,2.983888888888889
"Barron County, Wisconsin","St. Joseph's Hospital, Marshfield",197696,197.696,122.8482944,7074,117.9,1.965
"Bayfield County, Wisconsin","St. Joseph's Hospital, Marshfield",274260,274.26,170.425164,12344,205.73333333333332,3.428888888888889
"Brown County, Wisconsin","St. Joseph's Hospital, Marshfield",228446,228.446,141.9563444,8092,134.86666666666667,2.247777777777778
"Buffalo County, Wisconsin","St. Joseph's Hospital, Marshfield",172170,172.17,106.986438,7655,127.58333333333333,2.126388888888889
"Burnett County, Wisconsin","St. Joseph's Hospital, Marshfield",276642,276.642,171.9053388,10192,169.86666666666667,2.831111111111111
"Calumet County, Wisconsin","St. Joseph's Hospital, Marshfield",186279,186.279,115.75377060000001,7075,117.91666666666667,1.9652777777777777
"Chippewa County, Wisconsin","St. Joseph's Hospital, Marshfield",127625,127.625,79.30617500000001,5282,88.03333333333333,1.4672222222222222
"Clark County, Wisconsin","St. Joseph's Hospital, Marshfield",68756,68.756,42.724978400000005,3217,53.61666666666667,0.8936111111111111
"Columbia County, Wisconsin","St. Joseph's Hospital, Marshfield",197881,197.881,122.96325340000001,7284,121.4,2.0233333333333334
"Crawford County, Wisconsin","St. Joseph's Hospital, Marshfield",210707,210.707,130.9333298,9575,159.58333333333334,2.6597222222222223
"Dane County, Wisconsin","St. Joseph's Hospital, Marshfield",244452,244.452,151.9024728,8915,148.58333333333334,2.4763888888888888
"Dodge County, Wisconsin","St. Joseph's Hospital, Marshfield",246607,246.607,153.2415898,9266,154.43333333333334,2.573888888888889
"Door County, Wisconsin","St. Joseph's Hospital, Marshfield",278703,278.703,173.1860442,10095,168.25,2.8041666666666667
"Douglas County, Wisconsin","St. Joseph's Hospital, Marshfield",313072,313.072,194.5429408,11148,185.8,3.0966666666666667
"Dunn County, Wisconsin","St. Joseph's Hospital, Marshfield",169732,169.732,105.4714648,6258,104.3,1.7383333333333333
"Eau Claire County, Wisconsin","St. Joseph's Hospital, Marshfield",110284,110.284,68.5304776,4888,81.46666666666667,1.3577777777777778
"Florence County, Wisconsin","St. Joseph's Hospital, Marshfield",258493,258.493,160.6275502,10954,182.56666666666666,3.042777777777778
"Fond du Lac County, Wisconsin","St. Joseph's Hospital, Marshfield",228065,228.065,141.719591,8223,137.05,2.2841666666666667
"Forest County, Wisconsin","St. Joseph's Hospital, Marshfield",200687,200.687,124.70690180000001,8171,136.18333333333334,2.269722222222222
"Grant County, Wisconsin","St. Joseph's Hospital, Marshfield",241637,241.637,150.15323180000001,10880,181.33333333333334,3.022222222222222
"Green County, Wisconsin","St. Joseph's Hospital, Marshfield",307977,307.977,191.3769078,11166,186.1,3.1016666666666666
"Green Lake County, Wisconsin","St. Joseph's Hospital, Marshfield",179806,179.806,111.7314484,6931,115.51666666666667,1.9252777777777779
"Iowa County, Wisconsin","St. Joseph's Hospital, Marshfield",218468,218.468,135.7560152,10086,168.1,2.8016666666666667
"Iron County, Wisconsin","St. Joseph's Hospital, Marshfield",254159,254.159,157.9344026,10527,175.45,2.924166666666667
"Jackson County, Wisconsin","St. Joseph's Hospital, Marshfield",95019,95.019,59.0448066,4162,69.36666666666666,1.156111111111111
"Jefferson County, Wisconsin","St. Joseph's Hospital, Marshfield",279485,279.485,173.67197900000002,9421,157.01666666666668,2.6169444444444445
"Juneau County, Wisconsin","St. Joseph's Hospital, Marshfield",95623,95.623,59.420132200000005,4315,71.91666666666667,1.198611111111111
"Kenosha, Kenosha County, Wisconsin","St. Joseph's Hospital, Marshfield",364507,364.507,226.5046498,12975,216.25,3.6041666666666665
"Kewaunee, Kewaunee County, Wisconsin","St. Joseph's Hospital, Marshfield",262740,262.74,163.266636,9450,157.5,2.625
"La Crosse County, Wisconsin","St. Joseph's Hospital, Marshfield",157938,157.938,98.1426732,6387,106.45,1.7741666666666667
"Lafayette County, Wisconsin","St. Joseph's Hospital, Marshfield",257628,257.628,160.0900392,11836,197.26666666666668,3.287777777777778
"Langlade County, Wisconsin","St. Joseph's Hospital, Marshfield",149838,149.838,93.10933320000001,6025,100.41666666666667,1.6736111111111112
"Lincoln County, Wisconsin","St. Joseph's Hospital, Marshfield",106337,106.337,66.0778118,4670,77.83333333333333,1.2972222222222223
"Manitowoc, Manitowoc County, Wisconsin","St. Joseph's Hospital, Marshfield",240154,240.154,149.2316956,9599,159.98333333333332,2.6663888888888887
"Marathon County, Wisconsin","St. Joseph's Hospital, Marshfield",41989,41.989,26.0919646,1866,31.1,0.5183333333333333
"Marinette County, Wisconsin","St. Joseph's Hospital, Marshfield",244263,244.263,151.7850282,10567,176.11666666666667,2.935277777777778
"Marquette County, Wisconsin","St. Joseph's Hospital, Marshfield",149451,149.451,92.86885140000001,5275,87.91666666666667,1.4652777777777777
"Menominee County, Wisconsin","St. Joseph's Hospital, Marshfield",155662,155.662,96.7283668,6334,105.56666666666666,1.7594444444444444
"Milwaukee County, Wisconsin","St. Joseph's Hospital, Marshfield",308418,308.418,191.65094520000002,10698,178.3,2.9716666666666667
"Monroe County, Wisconsin","St. Joseph's Hospital, Marshfield",121496,121.496,75.4976144,5598,93.3,1.555
"Oconto County, Wisconsin","St. Joseph's Hospital, Marshfield",207406,207.406,128.88208840000001,8265,137.75,2.2958333333333334
"Oneida County, Wisconsin","St. Joseph's Hospital, Marshfield",164548,164.548,102.25012720000001,6081,101.35,1.6891666666666667
"Outagamie County, Wisconsin","St. Joseph's Hospital, Marshfield",170344,170.344,105.8517616,6690,111.5,1.8583333333333334
"Port Washington, Ozaukee County, Wisconsin","St. Joseph's Hospital, Marshfield",283238,283.238,176.0040932,10616,176.93333333333334,2.948888888888889
"Pepin County, Wisconsin","St. Joseph's Hospital, Marshfield",164680,164.68,102.33215200000001,7226,120.43333333333334,2.007222222222222
"Pierce County, Wisconsin","St. Joseph's Hospital, Marshfield",229368,229.368,142.5292752,8354,139.23333333333332,2.3205555555555555
"Polk County, Wisconsin","St. Joseph's Hospital, Marshfield",240016,240.016,149.1459424,9025,150.41666666666666,2.5069444444444446
"Portage County, Wisconsin","St. Joseph's Hospital, Marshfield",72534,72.534,45.072627600000004,2913,48.55,0.8091666666666667
"Price County, Wisconsin","St. Joseph's Hospital, Marshfield",134730,134.73,83.72122200000001,6156,102.6,1.71
"Racine, Racine County, Wisconsin","St. Joseph's Hospital, Marshfield",350235,350.235,217.636029,12697,211.61666666666667,3.5269444444444447
"Richland County, Wisconsin","St. Joseph's Hospital, Marshfield",161796,161.796,100.54003440000001,7728,128.8,2.1466666666666665
"Rock County, Wisconsin","St. Joseph's Hospital, Marshfield",295994,295.994,183.9306716,10076,167.93333333333334,2.798888888888889
"Rusk County, Wisconsin","St. Joseph's Hospital, Marshfield",163212,163.212,101.4199368,6744,112.4,1.8733333333333333
"St. Croix County, Wisconsin","St. Joseph's Hospital, Marshfield",216750,216.75,134.68845000000002,7960,132.66666666666666,2.2111111111111112
"Sauk County, Wisconsin","St. Joseph's Hospital, Marshfield",175471,175.471,109.0376794,7354,122.56666666666666,2.042777777777778
"Sawyer County, Wisconsin","St. Joseph's Hospital, Marshfield",199611,199.611,124.0382754,8217,136.95,2.2825
"Shawano County, Wisconsin","St. Joseph's Hospital, Marshfield",143513,143.513,89.1789782,5605,93.41666666666667,1.5569444444444445
"Sheboygan, Sheboygan County, Wisconsin","St. Joseph's Hospital, Marshfield",271509,271.509,168.7156926,9872,164.53333333333333,2.7422222222222223
"Taylor County, Wisconsin","St. Joseph's Hospital, Marshfield",83769,83.769,52.0540566,3926,65.43333333333334,1.0905555555555555
"Trempealeau County, Wisconsin","St. Joseph's Hospital, Marshfield",131677,131.677,81.8240878,5925,98.75,1.6458333333333333
"Vernon County, Wisconsin","St. Joseph's Hospital, Marshfield",174247,174.247,108.27708580000001,7803,130.05,2.1675
"Vilas County, Wisconsin","St. Joseph's Hospital, Marshfield",207891,207.891,129.1834674,8199,136.65,2.2775
"Walworth County, Wisconsin","St. Joseph's Hospital, Marshfield",329366,329.366,204.66803240000002,11417,190.28333333333333,3.171388888888889
"Washburn County, Wisconsin","St. Joseph's Hospital, Marshfield",262264,262.264,162.9708496,9237,153.95,2.5658333333333334
"Washington County, Wisconsin","St. Joseph's Hospital, Marshfield",255760,255.76,158.92926400000002,8981,149.68333333333334,2.4947222222222223
"Waukesha County, Wisconsin","St. Joseph's Hospital, Marshfield",318359,318.359,197.82828260000002,10674,177.9,2.965
"Waupaca County, Wisconsin","St. Joseph's Hospital, Marshfield",110555,110.555,68.69887700000001,4550,75.83333333333333,1.2638888888888888
"Waushara County, Wisconsin","St. Joseph's Hospital, Marshfield",128147,128.147,79.63054580000001,4945,82.41666666666667,1.3736111111111111
"Winnebago County, Wisconsin","St. Joseph's Hospital, Marshfield",181545,181.545,112.81206300000001,6627,110.45,1.8408333333333333
"Wood County, Wisconsin","St. Joseph's Hospital, Marshfield",27870,27.87,17.318418,1442,24.033333333333335,0.40055555555555555
"Adams County, Wisconsin","Meriter Hospital, Madison",139097,139.097,86.4348758,5392,89.86666666666666,1.4977777777777779
"Ashland, Ashland County, Wisconsin","Meriter Hospital, Madison",485506,485.506,301.6934284,18114,301.9,5.031666666666666
"Barron County, Wisconsin","Meriter Hospital, Madison",367244,367.244,228.20542160000002,12582,209.7,3.495
"Bayfield County, Wisconsin","Meriter Hospital, Madison",516385,516.385,320.881639,19767,329.45,5.490833333333334
